0,CCSC1=C(C=C(C(=C1)OC)CCN)OC,CS/C=C/C(=O)OC[C@H]1CCN2[C@@H]1CCC2
1,CC(CCCN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CC4=CC=CC=C43)O,COC1=C(C=C2C(=C1)CCN=C2CC3=CC=CC=C3)OCC4=CC=CC=C4
2,CC1=C(C(=CC=C1)O)N,CC1=C(C=CC(=C1)O)N
3,CCC(CCN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CC4=CC=CC=C43)O,COC1=C(C=C2C(=C1)CCN=C2CC3=CC=CC=C3)OCC4=CC=CC=C4
4,CC(C)C(C(=O)N)NC(=O)C1=NN(C2=CC=CC=C21)CC3CCCCC3,CC(C)CC1COCN2C(=CN=N2)CCC(C(=O)N1)CC3=CC=CC=C3
5,CC(CCCN1C=C(C2=CC=CC=C21)C(=O)C3C(C3(C)C)(C)C)O,CC1CC(=CCC12COC(OC2)C3=CN=CC=C3)CCC=C(C)C
6,C(C(C(=O)NCC(=O)NC(CC(=O)O)C(=O)O)N)C(=O)O,C(C1C(C(C(C(O1)OC2=C(NC(=O)NC2=O)N)O)O)O)O
7,CC(CC1=CC2=C(C=C1)OC=C2)NC,CN(C)CC1CC2=CC=CC=C2C1=O
8,C1=CC=C2C(=C1)C=CC=C2C(=O)C3=CN(C4=CC=CC=C43)CCCCCO,COC1=C(C=C2C(=C1)CCN=C2CC3=CC=CC=C3)OCC4=CC=CC=C4
9,C1CN(CCC1N)C(=O)OCC2=CC=CC=C2,C1=CC(=CC=C1C=CC(=O)NCCCCN)O
10,CC1=CC=CC=C1C(C2=CC=CC=C2)O,C1=CC=C(C=C1)COCC2=CC=CC=C2
11,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)OC3C(C(C(C(O3)C(=O)O)O)O)O)C4=CC=CC=C4,CN(C)C1C2C(C3C(=C)C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O
12,CCCCCN1C=C(C2=CC=CC=C21)C(=O)OC3=CC=CC4=C3N=CC=C4,CN1C2=C3C(=CC1=O)C4=CC=CC=C4C(=O)C3=C(C=C2)NC5CCCCC5
13,CC1=C(C=C[N+](=C1CS(=O)(=O)C2=NC3=CC=CC=C3N2)[O-])OCCCOC,CSCCC(C(=O)O)NC(=O)COC1=CC2=C(C=C1)N=C3CCCN3C2=O
14,CC(C)C(C(=O)N)NC(=O)C1=NN(C2=CC=CC=C21)CC3=CC=C(C=C3)F,COC1=NC=CC(=N1)C2=C(N=CN2C3CCC(CC3)O)C4=CC=C(C=C4)F
15,C1C(O1)CCCN2C=C(C3=CC=CC=C32)C(=O)C4=CC=CC5=CC=CC=C54,CC1=C(C(=C2C(=N1)C3=CC=CC=C3C2=O)C4=CC=C(C=C4)C(C)C)C(=O)C
16,CC(C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N,CC(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N
17,C1=CC=C2C(=C1)C=CC=C2C(=O)C3=CN(C4=CC=CC=C43)CCCCC(=O)O,CCOC(=O)CC1=CC(=NC2=C1C3=CC=CC=C3C=C2)C4=CC=C(C=C4)OC
18,CC(=NO)CC1=CC2=C(C=C1)OCO2,COC1=C(C=C2CCNC(=O)C2=C1)O
19,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)NCC(=O)O,CC=C(C)C1C(C2C(CC(CC2C=C1C)C)C)C(=O)C3=CC(NC3=O)(C)OC
20,CCCCCN1C=C(C2=CC=CC=C21)C(=O)NC3=CC=CC4=CC=CC=C43,C1CC(CN(C1)CC2=CC=CC=N2)C(=O)C3=C4C=CC=C5C4=C(CC5)C=C3
21,CC1=CC=C(C2=CC=CC=C12)C(=O)C3=CN(C4=CC=CC=C43)CCCCC(=O)O,CC1=CC=C(O1)C(C2=CC=CC=C2C(=O)NCC3=CC=CC=C3)C4=CC=C(O4)C
22,CNCCCC(C1=CN=CC=C1)O,C1CC1C(C2CC2)NC3=NCCO3
23,CC(=C)C1=CC2=CC(=C(C=C2O1)O)C(=O)C,CC1=C(C(=C2C(=C1)C=CC=C2O)O)C(=O)C
24,CC(C)N1C(=O)C2=CC=CC=C2N(S1(=O)=O)C,CC(=CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N)C
25,CC1=CC(=C(C=C1OC)CCNCC2=CC=CC=C2OC)OC,CN(CCC1=CC=C(C=C1)OC)CC2=CC(=C(C=C2)OC)OC
26,C1C(C(C(C1=O)CC=CCCCC(=O)NC(CO)CO)C=CC(CCC2=CC=CC=C2)O)O,CC1C(CC=CCCC=CC(=O)OC1C(=CC(C)C(=O)CCCC2CC(=O)NC(=O)C2)C)O
27,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NC1=C(C=C(C=C1)O)C,CC1=CC=C(C=C1)C2(CCOC(C2)C(C)C)CCNCC3=CC=C(C=C3)OC(C)C
28,CS(=O)(=O)N(CC1=CC=CO1)CC(CN2C3=CC=CC=C3C4=CC=CC=C42)O,COC1=C(C=C(C=C1)CCNC(=O)C2CSC3N2C(=O)C4=CC=CC=C34)OC
29,CCCCCC(C)OC(=O)COC1=C2C(=C(C=C1)Cl)C=CC=N2,C[N+]1(CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O)CCl
30,C1CC(C(=O)C=C1)(C2=CC=CC=C2Cl)N,C1CC(=CC(=O)C1)NC2=CC=C(C=C2)Cl
31,CC(CC1=C2CCOC2=CC=C1)N,CC(C(C=CC1=CC=CC=C1)O)N
32,CCCCCN1C=C(C2=CC=CC=C21)C(=O)NC3=CC4=CC=CC=C4C=C3,C1CC(CN(C1)CC2=CC=CC=N2)C(=O)C3=C4C=CC=C5C4=C(CC5)C=C3
33,CC1(CC2=C(O1)C(=CC=C2)O)C,CCOC(=O)CC1=CC=CC=C1
34,CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)NCCO,CCCCCCCCCCCCCCCC(=O)N/C=C/C1=CC=C(C=C1)O
35,CC(=O)N1CCCC(C1)N,C[N+](C)(C)CC(CC#N)O
36,COC1=CC=C(C=C1)C=CC(=O)C2=C(C=CC(=C2)OC)OC,COC1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2)OC)OC
37,CCCCCC=CC=C1C(CCC1=O)CC=CCCCC(=O)O,CCCCCC=CCC=CC=CC(=O)CC=CCCCC(=O)O
38,CCCCCC(C=CC1C2CC(C1CC=CCCCC(=O)O)OO2)OO,CCCCCC(C=CC=CC=CC=CC(C(CCCC(=O)O)O)O)OO
39,CCC(C(=O)C1=CC2=C(CCC2)C=C1)NCC,CCC(=O)C1CCC(C2=C(C1)N=C(C=C2)C)C
40,CCCCCC=CCC(=O)C=CC=CCC=CCCCC(=O)O,CC(C=CCC=CCC=CCC=CCC=CCCCC(=O)O)O
41,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)N,CC(C)(CC(=O)N1CC2=C(CC1C(=O)NCC3=CC=CC=C3)N=CN2)CC(=O)O
42,CC12CCC3C(=O)OC(CC3(C1C(=O)C(CC2C(=O)OC)O)C)C4=COC=C4,CC12CC(OC(=O)C1CC(C3(C2CC(C=C3C(=O)OC)O)C)O)C4=COC=C4
43,CC1CCC(C2=C(CCC12)C)C=C(C)C(=O)O,CC1=C2CC(CCC2(CCC1)C)C(=C)C(=O)O
44,C1=CC=C2C(=C1)C=CC=C2NC(=O)C3=NN(C4=CC=CC=C43)CCCCCF,C1C2CN(CC1C3=CC=C(C(=O)N3C2)C4=CN=CC=C4)CC5=CC=C(C=C5)F
45,COC1=C(C2=C3C(CC4=CC(=C(C=C42)OC)O)NCCC3=C1)O,COC1=C(C=C2C(=C1)CC3C4=C2C(=C(C=C4CCN3)O)OC)O
46,C1CC(=O)N(C1=O)OC(=O)CCCCCCC(=O)ON2C(=O)CCC2=O,CN1C(CC(C1=O)OC2C(C(C(C(O2)C(=O)O)O)O)O)C3=CN=CC=C3
